date,use [kW],FurnaceHRV [kW],CellarOutlets [kW],WashingMachine [kW],FridgeRange [kW],DisposalDishwasher [kW],KitchenLights [kW],BedroomOutlets [kW],BedroomLights [kW],MasterOutlets [kW],MasterLights [kW],DuctHeaterHRV [kW],ElectricRange [kW],Dryer [kW],GarageMudroomLights [kW]
2014-01-01 00:00:00,0.795101111,0.195337778,0.083204444,0.005686111,0.006891667,0.005568889,0.012153889,0.020451667,0.004899444,0.046563333,0.010393333,0.382681667,0.002882778,0.005231111,0.013155
2014-01-01 00:30:00,0.716727223,0.182158333,0.036138889,0.005678889,0.094138333,0.005411667,0.0052,0.020570556,0.008868889,0.051676667,0.009883889,0.275576111,0.003022222,0.005440556,0.012962222
2014-01-01 01:00:00,0.667611666,0.134808333,0.047033889,0.005635,0.014786111,0.00551,0.003173333,0.020516111,0.004901111,0.053618889,0.010182778,0.346066667,0.002978889,0.005293333,0.013107222
2014-01-01 01:30:00,0.7670577780000001,0.182125,0.071406667,0.005671667,0.082081111,0.005445,0.003071667,0.020506111,0.004844444,0.050543333,0.009995556,0.310117222,0.002955,0.005316667,0.012978333
2014-01-01 02:00:00,0.568541668,0.092988333,0.014202778,0.00557,0.031901111,0.005401111,0.003153889,0.020411667,0.004841111,0.049051667,0.009926667,0.309781111,0.003058889,0.005367778,0.012885556
2014-01-01 02:30:00,0.7168444429999998,0.130656111,0.070753333,0.005601667,0.054812778,0.005457222,0.003076111,0.020384444,0.00484,0.048783333,0.010077778,0.341286111,0.002941667,0.005269444,0.012904444
2014-01-01 03:00:00,0.5221727760000001,0.054559444,0.039048333,0.005543333,0.040308333,0.005352222,0.003192222,0.020511667,0.004833889,0.048654444,0.009785556,0.268757778,0.003173889,0.005527222,0.012924444
2014-01-01 03:30:00,0.6738549999999999,0.082499444,0.043964444,0.005576111,0.049228889,0.005512778,0.003069444,0.020552778,0.004858333,0.048792778,0.010280556,0.378406111,0.002876667,0.005211667,0.013025
2014-01-01 04:00:00,0.5736366650000001,0.115085,0.069578889,0.005597222,0.037834444,0.005339444,0.003251111,0.020647222,0.004839444,0.048828333,0.009682222,0.231073889,0.003257778,0.00563,0.012991667
2014-01-01 04:30:00,0.634191666,0.033995556,0.007424444,0.005532222,0.051721111,0.005597778,0.005637778,0.020636111,0.0049,0.048786111,0.010488333,0.418342778,0.002816667,0.005183333,0.013129444
2014-01-01 05:00:00,0.49544166800000006,0.08577,0.067398889,0.005601667,0.028158333,0.005308889,0.003345556,0.020737778,0.004865,0.047451111,0.009596111,0.194957778,0.003370556,0.005788333,0.013091667
2014-01-01 05:30:00,0.7806822210000001,0.088577222,0.051055556,0.005566111,0.060265,0.005663333,0.002962778,0.020489444,0.004891111,0.046728333,0.010670556,0.462992222,0.002689444,0.005028333,0.013102778
2014-01-01 06:00:00,0.539298889,0.236577222,0.020465556,0.005733333,0.012634444,0.005318889,0.0034,0.020813889,0.004842222,0.045201111,0.009471667,0.152496667,0.003430556,0.005817222,0.013096111
